feature,class,f1,precision,recall
InferSent,Weighted Average,0.8824746931430218,0.8818932648047559,0.8835794960903562
InferSent,ARG,0.7796052631578948,0.8033898305084746,0.7571884984025559
InferSent,NONE,0.920897284533648,0.9112149532710282,0.9307875894988067
Word Embedding,Weighted Average,0.864597234367836,0.8637822595752681,0.8663194444444444
Word Embedding,ARG,0.7441860465116279,0.7750865051903114,0.7156549520766773
Word Embedding,NONE,0.9095182138660399,0.8968713789107764,0.9225268176400476
Word Embedding,Weighted Average,0.8830809523382094,0.8826404964554171,0.8836805555555556
Word Embedding,ARG,0.7824675324675324,0.7953795379537953,0.7699680511182109
Word Embedding,NONE,0.9206161137440758,0.9151943462897526,0.9261025029797377
Word Embedding,Weighted Average,0.8758147794793211,0.8752064398986311,0.8776041666666666
Word Embedding,ARG,0.7646076794657763,0.8006993006993007,0.731629392971246
Word Embedding,NONE,0.9173020527859236,0.9030023094688222,0.932061978545888
Word Embedding,Weighted Average,0.8769081352558641,0.8764027601934814,0.8776041666666666
Word Embedding,ARG,0.7707317073170732,0.7847682119205298,0.7571884984025559
Word Embedding,NONE,0.91651865008881,0.9105882352941177,0.9225268176400476
Word Embedding,Weighted Average,0.8612722354887162,0.8604384834610517,0.8627280625543006
Word Embedding,ARG,0.7392739273927393,0.764505119453925,0.7156549520766773
Word Embedding,NONE,0.9068396226415094,0.8962703962703962,0.9176610978520287
POS n-grams,Weighted Average,0.83552072838358,0.835139876784945,0.8359375
POS n-grams,ARG,0.6956521739130435,0.7012987012987013,0.6900958466453674
POS n-grams,NONE,0.8877005347593583,0.8850710900473935,0.8903456495828367
POS n-grams,Weighted Average,0.8365763318706214,0.835725539580073,0.8376736111111112
POS n-grams,ARG,0.6949429037520392,0.71,0.6805111821086262
POS n-grams,NONE,0.8894145476049674,0.8826291079812206,0.8963051251489869
POS n-grams,Weighted Average,0.8508644942085493,0.8499066148849784,0.8524305555555556
POS n-grams,ARG,0.7194719471947195,0.7440273037542662,0.6964856230031949
POS n-grams,NONE,0.8998822143698468,0.889406286379511,0.9106078665077473
POS n-grams,Weighted Average,0.84691379666424,0.8459007893799377,0.8498263888888888
POS n-grams,ARG,0.7072758037225043,0.7517985611510791,0.6677316293929713
POS n-grams,NONE,0.899007589025102,0.8810068649885584,0.9177592371871275
POS n-grams,Weighted Average,0.8389726802902833,0.8380945503501411,0.840139009556907
POS n-grams,ARG,0.6993464052287581,0.7157190635451505,0.6837060702875399
POS n-grams,NONE,0.8911242603550296,0.8838028169014085,0.8985680190930787
Contains JJR,Weighted Average,0.8130381147513969,0.8164220836313781,0.8237847222222222
Contains JJR,ARG,0.6191369606003752,0.75,0.5271565495207667
Contains JJR,NONE,0.8853754940711464,0.8412017167381974,0.9344457687723481
Contains JJR,Weighted Average,0.8127313372038653,0.8124778550859393,0.8203125
Contains JJR,ARG,0.6283662477558348,0.7172131147540983,0.5591054313099042
Contains JJR,NONE,0.8815111619919863,0.8480176211453745,0.9177592371871275
Contains JJR,Weighted Average,0.8324580467478435,0.8346800067544748,0.8402777777777778
Contains JJR,ARG,0.6642335766423357,0.774468085106383,0.5814696485623003
Contains JJR,NONE,0.8952164009111617,0.8571428571428571,0.9368295589988082
Contains JJR,Weighted Average,0.8272474243576011,0.8287921124330391,0.8350694444444444
Contains JJR,ARG,0.6545454545454547,0.759493670886076,0.5750798722044729
Contains JJR,NONE,0.8916761687571266,0.8546448087431694,0.932061978545888
Contains JJR,Weighted Average,0.8076515673978866,0.810172488123238,0.8184187662901824
Contains JJR,ARG,0.6093457943925233,0.7342342342342343,0.5207667731629393
Contains JJR,NONE,0.881720430107527,0.8385360602798708,0.9295942720763724
