word_a	freq_a	word_b	freq_b	type	use_marker
Honda	163026	Fraser	79548	https://en.wikipedia.org/wiki/List_of_car_brands	True
Honda	163026	Mitsubishi	79047	https://en.wikipedia.org/wiki/List_of_car_brands	True
Honda	163026	Renault	76155	https://en.wikipedia.org/wiki/List_of_car_brands	True
Brooks	149405	Raymond	144349	https://en.wikipedia.org/wiki/List_of_fitness_wear_brands	True
Brooks	149405	Nike	61042	https://en.wikipedia.org/wiki/List_of_fitness_wear_brands	True
Brooks	149405	Salomon	50328	https://en.wikipedia.org/wiki/List_of_fitness_wear_brands	True
Brooks	149405	Gul	41993	https://en.wikipedia.org/wiki/List_of_fitness_wear_brands	True
Brooks	149405	Sting	34379	https://en.wikipedia.org/wiki/List_of_fitness_wear_brands	True
Brooks	149405	McKenzie	34082	https://en.wikipedia.org/wiki/List_of_fitness_wear_brands	True
Brooks	149405	Ping	23315	https://en.wikipedia.org/wiki/List_of_fitness_wear_brands	True
Brooks	149405	Reebok	21047	https://en.wikipedia.org/wiki/List_of_fitness_wear_brands	True
Brooks	149405	Kappa	20241	https://en.wikipedia.org/wiki/List_of_fitness_wear_brands	True
Brooks	149405	Adidas	17628	https://en.wikipedia.org/wiki/List_of_fitness_wear_brands	True
Raymond	144349	Nike	61042	https://en.wikipedia.org/wiki/List_of_fitness_wear_brands	False
Raymond	144349	Salomon	50328	https://en.wikipedia.org/wiki/List_of_fitness_wear_brands	True
Raymond	144349	Gul	41993	https://en.wikipedia.org/wiki/List_of_fitness_wear_brands	False
Raymond	144349	Sting	34379	https://en.wikipedia.org/wiki/List_of_fitness_wear_brands	True
Raymond	144349	McKenzie	34082	https://en.wikipedia.org/wiki/List_of_fitness_wear_brands	True
Raymond	144349	Ping	23315	https://en.wikipedia.org/wiki/List_of_fitness_wear_brands	True
Raymond	144349	Reebok	21047	https://en.wikipedia.org/wiki/List_of_fitness_wear_brands	True
Raymond	144349	Kappa	20241	https://en.wikipedia.org/wiki/List_of_fitness_wear_brands	True
Raymond	144349	Adidas	17628	https://en.wikipedia.org/wiki/List_of_fitness_wear_brands	False
Panama	125685	Newport	90129	https://en.wikipedia.org/wiki/List_of_cigarette_brands	False
Panama	125685	Regent	32207	https://en.wikipedia.org/wiki/List_of_cigarette_brands	True
Panama	125685	Marlboro	19058	https://en.wikipedia.org/wiki/List_of_cigarette_brands	False
Panama	125685	Pueblo	18961	https://en.wikipedia.org/wiki/List_of_cigarette_brands	True
Panama	125685	Winfield	18658	https://en.wikipedia.org/wiki/List_of_cigarette_brands	True
Panama	125685	North Pole	15504	https://en.wikipedia.org/wiki/List_of_cigarette_brands	True
Panama	125685	Vantage	13938	https://en.wikipedia.org/wiki/List_of_cigarette_brands	True
Panama	125685	Mayfair	12233	https://en.wikipedia.org/wiki/List_of_cigarette_brands	True
Panama	125685	Fixation	10388	https://en.wikipedia.org/wiki/List_of_cigarette_brands	True
Panama	125685	Lark	10331	https://en.wikipedia.org/wiki/List_of_cigarette_brands	True
Amazon	112967	Dell	109489	https://en.wikipedia.org/wiki/List_of_electronics_brands	True
Amazon	112967	Kingston	78706	https://en.wikipedia.org/wiki/List_of_electronics_brands	True
Amazon	112967	HP	77193	https://en.wikipedia.org/wiki/List_of_electronics_brands	True
Amazon	112967	Nokia	72890	https://en.wikipedia.org/wiki/List_of_electronics_brands	True
Dell	109489	Kingston	78706	https://en.wikipedia.org/wiki/List_of_electronics_brands	True
Dell	109489	HP	77193	https://en.wikipedia.org/wiki/List_of_electronics_brands	True
Dell	109489	Nokia	72890	https://en.wikipedia.org/wiki/List_of_electronics_brands	False
