word_a,freq_a,word_b,freq_b,type,use_marker,d_type,count
Ethernet,26371,Token ring,319,https://en.wikipedia.org/wiki/List_of_network_protocol_stacks,TRUE,compsci,711
Ethernet,26371,FDDI,313,https://en.wikipedia.org/wiki/List_of_network_protocol_stacks,TRUE,compsci,583
Ethernet,26371,AppleTalk,776,https://en.wikipedia.org/wiki/List_of_network_protocol_stacks,TRUE,compsci,339
Ethernet,26371,IPX,775,https://en.wikipedia.org/wiki/List_of_network_protocol_stacks,TRUE,compsci,272
Firebird,5935,PostgreSQL,2465,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems,TRUE,compsci,165
FL,18147,rc,18032,https://en.wikipedia.org/wiki/List_of_programming_languages,TRUE,compsci,308
Fortran,7841,COBOL,1630,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,TRUE,compsci,704
Fortran,7841,Lisp,4287,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,TRUE,compsci,583
Graph,57853,Integer,25232,https://en.wikipedia.org/wiki/List_of_data_structures,TRUE,compsci,566
Graph,57853,Boolean,9369,https://en.wikipedia.org/wiki/List_of_data_structures,TRUE,compsci,371
Hack,18487,Perl,18021,https://en.wikipedia.org/wiki/List_of_programming_languages,TRUE,compsci,530
Hack,18487,rc,18032,https://en.wikipedia.org/wiki/List_of_programming_languages,TRUE,compsci,147
Integer,25232,Boolean,9369,https://en.wikipedia.org/wiki/List_of_data_structures,TRUE,compsci,611
Integer,25232,Floating-point,4492,https://en.wikipedia.org/wiki/List_of_data_structures,TRUE,compsci,363
Integer,25232,Bitmap,4410,https://en.wikipedia.org/wiki/List_of_data_structures,TRUE,compsci,133
JADE,24291,Rust,21364,https://en.wikipedia.org/wiki/List_of_programming_languages,TRUE,compsci,107
Java,124661,Ruby,48376,https://en.wikipedia.org/wiki/List_of_programming_languages,TRUE,compsci,757
Java,124661,SR,75987,https://en.wikipedia.org/wiki/List_of_programming_languages,TRUE,compsci,753
Java,124661,Maple,55629,https://en.wikipedia.org/wiki/List_of_programming_languages,TRUE,compsci,578
Java,124661,A# .NET,79877,https://en.wikipedia.org/wiki/List_of_programming_languages,TRUE,compsci,116
JavaScript,17780,Haskell,14706,https://en.wikipedia.org/wiki/List_of_programming_languages,TRUE,compsci,588
JavaScript,17780,Scala,14839,https://en.wikipedia.org/wiki/List_of_programming_languages,TRUE,compsci,574
JavaScript,17780,Apex,17465,https://en.wikipedia.org/wiki/List_of_programming_languages,TRUE,compsci,196
JavaScript,17780,Lynx,14941,https://en.wikipedia.org/wiki/List_of_programming_languages,TRUE,compsci,142
Jython,236,Clojure,234,https://en.wikipedia.org/wiki/List_of_programming_languages,TRUE,compsci,110
LaTeX,13341,Flex,11710,https://en.wikipedia.org/wiki/List_of_programming_languages,TRUE,compsci,215
LaTeX,13341,XL,12263,https://en.wikipedia.org/wiki/List_of_programming_languages,TRUE,compsci,173
LIL,26323,TEX,21316,https://en.wikipedia.org/wiki/List_of_programming_languages,TRUE,compsci,131
Linear programming,857,Dynamic Programming,716,https://en.wikipedia.org/wiki/List_of_algorithms,TRUE,compsci,183
Linked list,806,Hash table,749,https://en.wikipedia.org/wiki/List_of_data_structures,TRUE,compsci,263
Linked list,806,Binary tree,595,https://en.wikipedia.org/wiki/List_of_data_structures,TRUE,compsci,112
Lisp,4287,COBOL,1630,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,TRUE,compsci,121
M4,11777,Flex,11710,https://en.wikipedia.org/wiki/List_of_programming_languages,TRUE,compsci,110
macOS,2230,BeOS,1166,https://en.wikipedia.org/wiki/List_of_operating_systems,TRUE,compsci,334
macOS,2230,HP-UX,1456,https://en.wikipedia.org/wiki/List_of_operating_systems,TRUE,compsci,136
macOS,2230,NeXTSTEP,531,https://en.wikipedia.org/wiki/List_of_operating_systems,TRUE,compsci,129
Maple,55629,Curry,52297,https://en.wikipedia.org/wiki/List_of_programming_languages,TRUE,compsci,428
Maple,55629,Ruby,48376,https://en.wikipedia.org/wiki/List_of_programming_languages,TRUE,compsci,230
MD5,1131,Hash Function,1126,https://en.wikipedia.org/wiki/List_of_algorithms,TRUE,compsci,717
Microsoft Access,2277,Microsoft SQL Server,1785,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems,TRUE,compsci,339
MIMIC,22836,Bash,19978,https://en.wikipedia.org/wiki/List_of_programming_languages,TRUE,compsci,100
Modula-2,532,Modula,532,https://en.wikipedia.org/wiki/List_of_programming_languages,TRUE,compsci,773
