,word_a,freq_a,word_b,freq_b,type,use_marker,d_type,count
87,Sony,223059,Dell,109489,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,125.0
88,Sony,223059,BT,107903,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,17.0
89,Sony,223059,Kingston,78706,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,20.0
90,Sony,223059,HP,77193,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,98.0
91,Toyota,213302,Bristol,209550,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,2.0
92,Toyota,213302,Chrysler,163926,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,120.0
93,Toyota,213302,Honda,163026,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,825.0
94,Toyota,213302,Ferrari,92463,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,54.0
95,Toyota,213302,BMW,91546,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,181.0
96,Toyota,213302,Nissan,87485,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,423.0
97,Toyota,213302,Mitsubishi,79047,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,92.0
98,Toyota,213302,Renault,76155,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,53.0
99,Toyota,213302,Chevrolet,69521,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,102.0
100,Momentum,211314,Ace +,75238,https://en.wikipedia.org/wiki/Paracetamol_brand_names,True,brands,0.0
101,Momentum,211314,Napa,25196,https://en.wikipedia.org/wiki/Paracetamol_brand_names,True,brands,1.0
102,Momentum,211314,Panda,15826,https://en.wikipedia.org/wiki/Paracetamol_brand_names,True,brands,1.0
103,Momentum,211314,Herron,8760,https://en.wikipedia.org/wiki/Paracetamol_brand_names,True,brands,1.0
104,Momentum,211314,Pain Relief,7897,https://en.wikipedia.org/wiki/Paracetamol_brand_names,True,brands,0.0
105,Momentum,211314,Tylenol,4905,https://en.wikipedia.org/wiki/Paracetamol_brand_names,True,brands,0.0
106,Momentum,211314,Panamax,530,https://en.wikipedia.org/wiki/Paracetamol_brand_names,True,brands,0.0
107,Momentum,211314,Calpol,293,https://en.wikipedia.org/wiki/Paracetamol_brand_names,True,brands,0.0
108,Momentum,211314,Adol,283,https://en.wikipedia.org/wiki/Paracetamol_brand_names,True,brands,0.0
109,Momentum,211314,Panadol,268,https://en.wikipedia.org/wiki/Paracetamol_brand_names,True,brands,0.0
110,Bristol,209550,Chrysler,163926,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,1.0
111,Bristol,209550,Honda,163026,https://en.wikipedia.org/wiki/List_of_car_brands,False,brands,93.0
112,Bristol,209550,Ferrari,92463,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,1.0
113,Bristol,209550,BMW,91546,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,1.0
114,Bristol,209550,Nissan,87485,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,0.0
115,Bristol,209550,Mitsubishi,79047,https://en.wikipedia.org/wiki/List_of_car_brands,False,brands,85.0
116,Bristol,209550,Renault,76155,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,0.0
117,Bristol,209550,Chevrolet,69521,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,8.0
118,MP,192544,SR,75987,https://en.wikipedia.org/wiki/List_of_firearm_brands,False,brands,589.0
119,MP,192544,Colt,26026,https://en.wikipedia.org/wiki/List_of_firearm_brands,True,brands,2.0
120,MP,192544,Taurus,18862,https://en.wikipedia.org/wiki/List_of_firearm_brands,True,brands,1.0
121,MP,192544,AEK,13872,https://en.wikipedia.org/wiki/List_of_firearm_brands,False,brands,0.0
122,MP,192544,Remington,11297,https://en.wikipedia.org/wiki/List_of_firearm_brands,True,brands,1.0
123,MP,192544,Glock,8214,https://en.wikipedia.org/wiki/List_of_firearm_brands,True,brands,12.0
124,MP,192544,Baikal,4285,https://en.wikipedia.org/wiki/List_of_firearm_brands,True,brands,3.0
