feature,class,f1,precision,recall
POS n-grams,Weighted Average,0.7712631145372165,0.7689586002970122,0.8052173913043478
POS n-grams,BETTER,0.5999999999999999,0.6084905660377358,0.591743119266055
POS n-grams,WORSE,0.04040404040404041,0.4,0.02127659574468085
POS n-grams,NONE,0.8977978543195935,0.8520900321543408,0.9486873508353222
Contains JJR,Weighted Average,0.748871201939888,0.7181784102427213,0.782307025151778
Contains JJR,BETTER,0.5620915032679739,0.5375,0.589041095890411
Contains JJR,WORSE,0.0,0.0,0.0
Contains JJR,NONE,0.882420091324201,0.846659364731654,0.9213349225268176
Contains JJR,Weighted Average,0.7550541984621232,0.7238566909148202,0.7890625
Contains JJR,BETTER,0.5846153846153846,0.5611814345991561,0.6100917431192661
Contains JJR,WORSE,0.0,0.0,0.0
Contains JJR,NONE,0.8848346636259977,0.848087431693989,0.9249106078665077
Contains JJR,Weighted Average,0.7529127577737296,0.7207924182442355,0.7881944444444444
Contains JJR,BETTER,0.5707865168539327,0.5594713656387665,0.5825688073394495
Contains JJR,WORSE,0.0,0.0,0.0
Contains JJR,NONE,0.8854875283446713,0.8443243243243244,0.930870083432658
Contains JJR,Weighted Average,0.7495233948470806,0.718098675571818,0.7838541666666666
Contains JJR,BETTER,0.5587583148558758,0.5407725321888412,0.5779816513761468
Contains JJR,WORSE,0.0,0.0,0.0
Contains JJR,NONE,0.8839590443686007,0.8454842219804135,0.9261025029797377
Contains JJR,Weighted Average,0.773193918257195,0.7403166679619924,0.8095652173913044
Contains JJR,BETTER,0.6241457858769931,0.6199095022624435,0.6284403669724771
Contains JJR,WORSE,0.0,0.0,0.0
Contains JJR,NONE,0.8986983588002264,0.8546824542518837,0.9474940334128878
