index,name,source,type,cleaned_name,freq
205,Arj,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Arj,201
206,Axioo,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Axioo,3
207,Polytron,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Polytron,57
208,Allied Telesis,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Allied Telesis,65
209,Atari,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Atari,18236
210,Brother Industries,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Brother Industries,110
211,Canon,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Canon,57033
212,Casio,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Casio,5790
213,Clarion,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Clarion,8267
214,Eizo,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Eizo,241
215,Epson,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Epson,9164
216,Fuji Electric,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Fuji Electric,262
217,Fuji Xerox,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Fuji Xerox,570
218,Fujifilm,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Fujifilm,2593
219,Fujitsu,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Fujitsu,18829
220,Funai,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Funai,1075
221,Hitachi,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Hitachi,19714
222,Iiyama,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Iiyama,260
223,Pentax,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Pentax,4524
224,Renesas,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Renesas,647
225,Ricoh,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Ricoh,4845
226,Sansui,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Sansui,391
227,Sega Corporation,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Sega Corporation,54
228,SII,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,SII,936
229,SNK Corporation,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,SNK Corporation,8
230,Sony,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Sony,223059
231,TDK,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,TDK,3158
232,Toshiba,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Toshiba,35472
233,Yaesu,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Yaesu,472
234,Cowon,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Cowon,352
235,Daewoo Electronics,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Daewoo Electronics,955
236,Hansol,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Hansol,572
