word_a,freq_a,word_b,freq_b,type,use_marker,d_type,count
Apple,346971,BT,73,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,652
Ricoh,4845,Pentax,4524,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,651
Nissan,87485,Renault,76155,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,649
Jaguar,37288,Audi,33676,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,649
JVC,56,Kenwood,4184,https://en.wikipedia.org/wiki/List_of_car_audio_manufacturers_and_brands,TRUE,brands,646
Porsche,44458,Bentley,41634,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,643
Volkswagen,676,Suzuki,65414,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,642
Ferrari,92463,Nissan,87485,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,641
Apple,346971,Dell,9489,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,639
Volkswagen,676,Fiat,571,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,638
Buick,3,Opel,26739,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,635
Audi,33676,Peugeot,73,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,635
Nokia,728,Toshiba,35472,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,634
Chrysler,163926,Mitsubishi,747,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,622
Samsung,71469,Hewlett-Packard,42815,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,616
Nike,642,Ping,23315,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,TRUE,brands,615
Remington,11297,Glock,8214,https://en.wikipedia.org/wiki/List_of_firearm_brands,TRUE,brands,615
Microsoft,611659,Dell,9489,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,614
Google,319132,Intel,1738,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,613
Nokia,728,Siemens,51558,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,611
Kent,2335,Newport,129,https://en.wikipedia.org/wiki/List_of_cigarette_brands,TRUE,brands,599
Remington,11297,Beretta,4165,https://en.wikipedia.org/wiki/List_of_firearm_brands,TRUE,brands,598
Glock,8214,Ruger,28,https://en.wikipedia.org/wiki/List_of_firearm_brands,TRUE,brands,596
IBM,174355,HP,77193,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,594
Ford,5394,Honda,1626,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,593
MP,192544,SR,75987,https://en.wikipedia.org/wiki/List_of_firearm_brands,TRUE,brands,585
BMW,91546,Mitsubishi,747,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,584
Intel,1738,Dell,9489,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,579
IBM,174355,Intel,1738,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,579
Apple,346971,HP,77193,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,577
Intel,1738,HP,77193,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,576
Coca-Cola,848,Pepsi,38546,https://en.wikipedia.org/wiki/List_of_brand_name_soft_drink_products,TRUE,brands,573
Bosch,535,Hitachi,19714,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,573
Pepsi,38546,Sprite,5279,https://en.wikipedia.org/wiki/List_of_brand_name_soft_drink_products,TRUE,brands,564
Cool,317181,Kent,2335,https://en.wikipedia.org/wiki/List_of_cigarette_brands,TRUE,brands,564
Mini,49695,Porsche,44458,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,563
LG,31991,Bosch,535,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,558
Microsoft,611659,HP,77193,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,555
Starbucks,41878,Taco Bell,89,https://en.wikipedia.org/wiki/List_of_Kraft_brands,TRUE,brands,552
Motorola,67682,Toshiba,35472,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,547
Audi,33676,Mercedes-Benz,537,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,547
Ibuprofen,4643,Motrin,954,https://en.wikipedia.org/wiki/Ibuprofen_brand_names,TRUE,brands,544
MR,21573,Valdez,222,https://en.wikipedia.org/wiki/List_of_cigar_brands,TRUE,brands,544
Nokia,728,Canon,533,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,542
Ferrari,92463,Renault,76155,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,533
Leica,3968,Hasselblad,1984,https://en.wikipedia.org/wiki/List_of_digital_camera_brands,TRUE,brands,533
Ferrari,92463,Mitsubishi,747,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,532
Honda,1626,Renault,76155,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,528
Hewlett-Packard,42815,AMD,38746,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,526
Motorola,67682,Siemens,51558,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,525
Cadillac,36142,Opel,26739,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,519
Reebok,247,Adidas,17628,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,TRUE,brands,515
Pepsi,38546,Mountain Dew,3133,https://en.wikipedia.org/wiki/List_of_brand_name_soft_drink_products,TRUE,brands,515
Nokia,728,Hewlett-Packard,42815,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,512
Coca-Cola,848,Diet Coke,4684,https://en.wikipedia.org/wiki/List_of_brand_name_soft_drink_products,TRUE,brands,512
Chrysler,163926,Honda,1626,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,499
Mitsubishi,747,Renault,76155,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,497
Beretta,4165,Ruger,28,https://en.wikipedia.org/wiki/List_of_firearm_brands,TRUE,brands,493
Subaru,24154,Kia,21524,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,492
Sigma,26625,Leica,3968,https://en.wikipedia.org/wiki/List_of_digital_camera_brands,TRUE,brands,486
