index,name,source,type,cleaned_name,freq
196,Spaghetti stack,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Spaghetti stack,7
197,Disjoint-set data structure,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Disjoint-set data structure,16
198,Fusion tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Fusion tree,7
199,Enfilade,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Enfilade,463
200,Exponential tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Exponential tree,12
201,Fenwick tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Fenwick tree,6
202,Van Emde Boas tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Van Emde Boas tree,7
203,Rose tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Rose tree,170
204,Segment tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Segment tree,22
205,Interval tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Interval tree,20
206,Range tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Range tree,22
207,K-d tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,K-d tree,17
208,Implicit k-d tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Implicit k-d tree,0
209,Min/max k-d tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Min/max k-d tree,0
210,Relaxed k-d tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Relaxed k-d tree,0
211,Adaptive k-d tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Adaptive k-d tree,2
212,Quadtree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Quadtree,103
213,Octree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Octree,77
214,Linear octree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Linear octree,3
215,Z-order,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Z-order,64
216,UB-tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,UB-tree,13
217,R-tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,R-tree,188
218,R+ tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,R+ tree,188
219,R* tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,R* tree,188
220,Hilbert R-tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Hilbert R-tree,38
221,X-tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,X-tree,9
222,Metric tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Metric tree,5
223,Cover tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Cover tree,16
224,M-tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,M-tree,6
225,VP-tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,VP-tree,7
226,BK-tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,BK-tree,6
227,Bounding interval hierarchy,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Bounding interval hierarchy,3
228,Bounding volume hierarchy,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Bounding volume hierarchy,9
229,BSP tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,BSP tree,56
230,Rapidly exploring random tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Rapidly exploring random tree,7
231,Abstract syntax tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Abstract syntax tree,117
232,Parse tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Parse tree,464
233,Decision tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Decision tree,797
234,Alternating decision tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Alternating decision tree,5
235,Minimax tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Minimax tree,0
236,Expectiminimax tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Expectiminimax tree,4
237,Finger tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Finger tree,6
238,Expression tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Expression tree,56
239,Log-structured merge-tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Log-structured merge-tree,2
240,Lexicographic Search Tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Lexicographic Search Tree,0
241,Bloom filter,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Bloom filter,59
242,Count-Min sketch,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Count-Min sketch,3
243,Distributed hash table,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Distributed hash table,53
244,Double Hashing,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Double Hashing,11
245,Dynamic perfect hash table,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Dynamic perfect hash table,0
246,Hash array mapped trie,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Hash array mapped trie,7
247,Hash list,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Hash list,31
